Field ID,Crop Type (predicted),Growth Stage,Stress Index Used,Index Value,Stress Level,8-Day Water Deficit (mm),Irrigation Advisory
F_058,Soybean,reproductive,SAR VH/VV ratio,0.3058,Moderate,18.8,Urgent irrigation
F_059,Soybean,reproductive,SAR VH/VV ratio,0.293,Severe,18.8,Urgent irrigation
F_060,Cotton,reproductive,SAR VH/VV ratio,0.4374,Moderate,18.8,Urgent irrigation
F_061,Cotton,reproductive,SAR VH/VV ratio,0.4125,Moderate,18.8,Urgent irrigation
F_062,Sugarcane,maturity,VCI,0.336,Moderate,3.44,No action
F_063,Paddy,reproductive,SAR VH/VV ratio,0.1989,Severe,20.72,Urgent irrigation
F_064,Soybean,maturity,VCI,0.5797,Low,0.0,No action
F_065,Fallow,vegetative,NDWI,-0.7311,Severe,0.0,No action
F_066,Soybean,reproductive,SAR VH/VV ratio,0.225,Severe,18.8,Urgent irrigation
F_067,Paddy,reproductive,SAR VH/VV ratio,0.3387,Moderate,20.72,Urgent irrigation
F_068,Soybean,reproductive,SAR VH/VV ratio,0.2786,Severe,18.8,Urgent irrigation
F_069,Paddy,reproductive,SAR VH/VV ratio,0.3045,Moderate,20.72,Urgent irrigation
F_070,Soybean,maturity,VCI,0.4447,Moderate,0.0,No action
F_071,Sugarcane,reproductive,SAR VH/VV ratio,0.2662,Severe,22.64,Urgent irrigation
F_072,Sugarcane,maturity,VCI,0.7798,Low,3.44,No action
F_073,Paddy,reproductive,SAR VH/VV ratio,0.2935,Severe,20.72,Urgent irrigation
F_074,Paddy,reproductive,SAR VH/VV ratio,0.3781,Moderate,20.72,Urgent irrigation
F_075,Fallow,vegetative,NDWI,-0.4978,Severe,0.0,No action
F_076,Cotton,reproductive,SAR VH/VV ratio,0.3335,Moderate,18.8,Urgent irrigation
F_077,Sugarcane,reproductive,SAR VH/VV ratio,0.2638,Severe,22.64,Urgent irrigation
F_078,Cotton,reproductive,SAR VH/VV ratio,0.3549,Moderate,18.8,Urgent irrigation
F_079,Fallow,sowing,NDVI_anomaly + SMI,0.1935,Low,0.0,No action
F_080,Paddy,reproductive,SAR VH/VV ratio,0.2038,Severe,20.72,Urgent irrigation
F_081,Soybean,reproductive,SAR VH/VV ratio,0.351,Moderate,18.8,Urgent irrigation
F_082,Fallow,vegetative,NDWI,-0.8457,Severe,0.0,No action
F_083,Paddy,reproductive,SAR VH/VV ratio,0.3179,Moderate,20.72,Urgent irrigation
F_084,Cotton,reproductive,SAR VH/VV ratio,0.3893,Moderate,18.8,Urgent irrigation
F_085,Paddy,reproductive,SAR VH/VV ratio,0.2222,Severe,20.72,Urgent irrigation
F_086,Soybean,reproductive,SAR VH/VV ratio,0.3769,Moderate,18.8,Urgent irrigation
F_087,Soybean,maturity,VCI,0.301,Moderate,0.0,No action
F_088,Paddy,reproductive,SAR VH/VV ratio,0.2797,Severe,20.72,Urgent irrigation
F_089,Paddy,reproductive,SAR VH/VV ratio,0.3086,Moderate,20.72,Urgent irrigation
F_090,Fallow,vegetative,NDWI,-0.8566,Severe,0.0,No action
F_091,Sugarcane,maturity,VCI,0.8016,Low,3.44,No action
F_092,Fallow,sowing,NDVI_anomaly + SMI,0.3189,Moderate,0.0,No action
F_093,Sugarcane,reproductive,SAR VH/VV ratio,0.1978,Severe,22.64,Urgent irrigation
F_094,Fallow,maturity,VCI,0.8667,Low,0.0,No action
F_095,Sugarcane,maturity,VCI,0.6105,Low,3.44,No action
F_096,Fallow,sowing,NDVI_anomaly + SMI,0.4402,Moderate,0.0,No action
F_097,Paddy,reproductive,SAR VH/VV ratio,0.3024,Moderate,20.72,Urgent irrigation
F_098,Cotton,reproductive,SAR VH/VV ratio,0.3863,Moderate,18.8,Urgent irrigation
F_099,Fallow,sowing,NDVI_anomaly + SMI,0.2113,Low,0.0,No action
